"Reference","Value","Datasheet","Footprint","Qty","DNP","Dielectric","Manufacturer","MPN","Power Rating","Tolerance","Voltage Rating"
"C1","100n","~","Capacitor_SMD:C_0603_1608Metric","1","","X7R","Samsung Electro-Mechanics","CL10B104KB8NNWC","","10%","25V"
"C2","10u","~","Capacitor_SMD:C_0805_2012Metric","1","","X5R","Samsung Electro-Mechanics","CL21A106KAYNNNG","","10%","25V"
"C3","2.2u","~","Capacitor_SMD:C_0805_2012Metric","1","","X5R","Samsung Electro-Mechanics","CL21A225KAFNNNG","","10%","25V"
"J1,J2,J5,J6,J7,J8","JST SH","~","-- mixed values --","6","","","JST","-- mixed values --","","",""
"J3,J4,J10","JST PH","~","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","3","","","JST","S2B-PH-K","","",""
"Q1","DMG2305UX","https://www.diodes.com/assets/Datasheets/DMG2305UX.pdf","Package_TO_SOT_SMD:SOT-23","1","","","Diodes Incorporated","DMG2305UX","","",""
"Q2,Q3,Q4","RE1C002UN","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/re1c002untcl-e.pdf","Package_TO_SOT_SMD:SOT-416","3","","","Rohm Semiconductor","RE1C002UN","","",""
"R2","0.25","~","Resistor_SMD:R_2512_6332Metric","1","","","Stackpole Electronics Inc ","CSRN2512FKR250","2W","1%",""
"R3","0.316","~","Resistor_SMD:R_2512_6332Metric","1","","","TE Connectivity Passive Product","  RLC73PD3AR316FTDG","2W","1%",""
"SW1","Test","~","common:SW_Push_1P1T_NO_Vertical_Wuerth_434133025816","1","",""," Würth Elektronik","434133025816","","",""
"TP1,TP2","RCUCTE","~","TestPoint:TestPoint_Keystone_5015_Micro-Minature","2","","","KOA Speer Electronics, Inc.","RCUCTE","","",""
"U1","Pico","https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf","common:RPi_Pico_SMD_TH","1","","","Raspberry Pi Foundation","SC0915","","",""
"U2","DRV8848","http://www.ti.com/lit/ds/symlink/drv8848.pdf","Package_SO:TSSOP-16-1EP_4.4x5mm_P0.65mm","1","","","Texas Instruments","DRV8848PWPR","","",""
